sequence_sha256	joint_predicted_plddt_cutoff	contributing_units	af_experiment_rmsd_angstrom	af_experiment_local_mean_absolute_difference_angstrom	af_experiment_local_rms_difference_angstrom	esm_experiment_rmsd_angstrom	esm_experiment_local_mean_absolute_difference_angstrom	esm_experiment_local_rms_difference_angstrom	af_esm_rmsd_angstrom	af_esm_local_mean_absolute_difference_angstrom	af_esm_local_rms_difference_angstrom	paired_delta_rmsd_angstrom	paired_delta_local_mean_absolute_difference_angstrom	paired_delta_local_rms_difference_angstrom	fraction_full_sequence
0b8d4e8ec034bbe7e38401be0db088e127c66d44ef0872e7474c7aa39df06ce9	0	30	2.319328191233809	0.4572640615807157	1.0684940116950634	29.19446298582826	5.0613786638111256	14.385937997003516	29.607517325818474	4.9769813774705876	14.228817976961423	25.218733678950535	4.545955542367801	12.946208652577532	0.8700361010830325
0b8d4e8ec034bbe7e38401be0db088e127c66d44ef0872e7474c7aa39df06ce9	70	30	1.3050312472981056	0.2941402437815024	0.3901912849344419	19.731762411266494	0.8454218048521471	4.6497573235859075	22.214456929594206	0.718124851147244	5.13164779730089	14.753201370564522	0.5049203783720191	3.9717309615501892	0.5938628158844765
1388a54cb398512d6ac226de5606198945e6acbd290b575424e095cd7fbe6438	0	4	0.873512657369276	0.3207582698116629	0.6095241765165593	3.474537978893756	0.9901625612462783	2.405903627733311	3.3910749575835806	0.8812795216021115	2.3298963613259063	2.577662179346171	0.6694042914346154	1.7963794512167515	0.823699421965318
1388a54cb398512d6ac226de5606198945e6acbd290b575424e095cd7fbe6438	70	4	0.4247969456430096	0.19467916028112298	0.2705837129292281	0.7435191381381496	0.253795556523788	0.3945123414197556	0.620837565680326	0.1837753322249114	0.31458744410419237	0.3176058227749884	0.058861355011276165	0.12392862849052752	0.684971098265896
156cf677b796c2aaebdb1cd6921ef4a0fd409dce1c8b22e2d01eadc82b0b8d81	0	1	14.307673089343204	1.5586330382965135	5.9630952122802245	13.858848266376656	1.7631777266544957	5.900551017049429	3.2373740798777533	0.4105030208938462	0.7943839555366046	-0.44882482296654835	0.20454468835798223	-0.06254419523079591	0.6167341430499326
156cf677b796c2aaebdb1cd6921ef4a0fd409dce1c8b22e2d01eadc82b0b8d81	70	1	14.03591593978183	1.1944978116543092	5.099798117652516	13.52897068512605	1.3443004452295015	5.057645597582762	3.015585094842224	0.27359243143914624	0.4598940281886028	-0.5069452546557809	0.1498026335751923	-0.04215252006975412	0.5479082321187584
4a79a9ca6b6fcb3175539bdae202a7cc5e2df058476852f87bf482b5d1127fd2	0	21	3.534401525366803	1.6083661821060797	2.5518912954090083	8.727108305628395	1.8758206084701756	3.3490744744143255	8.262999273922034	0.9738336931747638	2.656394668534411	5.084367307040251	0.30433618579474353	0.7120978372837135	0.9082217973231358
4a79a9ca6b6fcb3175539bdae202a7cc5e2df058476852f87bf482b5d1127fd2	70	21	2.2711142632043377	0.8283711908916527	1.3530495954943234	6.6280195241167945	1.0520459292195892	2.030708304193006	5.9072246963244135	0.36377547539131033	1.1517628490433396	4.164530874883155	0.15599416894546614	0.4047191273234776	0.6845124282982792
5bf066d076b004974606b1090a7d63589eabd59b61cfb3b2e1bf0c2f6bc8f8fc	0	5	76.44024693535654	3.4330975120150895	11.967207017994436	70.5062553942669	16.755890024849077	37.85051254963084	50.221358873222584	14.318312256853238	31.995264852311653	-5.903151857454759	13.332454131312636	25.883305531636406	0.5564924114671164
6c6238ce3df8a0730a750c002381624b18a9118d769139354008a70ca5ac7ee5	0	38	3.171406549222599	0.5167449247979827	0.8501513773640756	35.78966697467001	2.481740119031731	9.704711018998255	35.21583905857051	2.286478284218702	9.321634795232852	32.65587386802288	1.9519173254800903	8.77906210747151	0.803030303030303
