case_id	target_node	original_dS_review_label	original_t	unconstrained_t	unconstrained_ll_gain	best_grid_exceeds_unconstrained_by	factor_0p1_ll_deficit_from_best	factor_10_ll_deficit_from_best	maximum_nuisance_reoptimization_gain	marker_copy_caveat	fcs_exposed_taxa	fcs_exposed_case
Amanita__115730at2759__code1	F41956	0.9827746190132818	1.673871910420997	1.6820298405432974	0.0012355619301160914	-0.0004135689337090298	56.53013590640239	44.41525610101917	139.14480918221898	none_recorded		False
Amanita__129234at2759__code1	F235537	1.902048071815029	3.839409326074703	3.866291217252537	0.002560679518410325	-0.0004817948411073303	36.67202355217751	31.29847670231311	128.84072168560988	none_recorded		False
Amanita__160487at2759__code1	F235537	1.1768773452342287	2.371912080018156	2.3855717609646176	0.005109025229103281	-0.0014976911697885953	130.08923235993097	163.52986955231972	318.5445282927012	none_recorded		False
Amanita__201273at2759__code1	F41956	0.9742149987312871	2.244364830489039	2.237219151964013	0.0006123495754764008	-0.00011625410297710914	29.438497330554583	36.494996892775816	47.55595169987237	none_recorded		False
Amanita__207567at2759__code1	F235537	1.1098184439470735	2.591775101372251	2.613315011256685	0.002056498626643588	-0.000736101502980091	29.204319334980028	33.334956851861534	73.26482548872809	none_recorded		False
Amanita__260326at2759__code1	F41956	1.7602158436567645	2.612034527396503	2.6300891765975836	0.0008733684996968805	-0.00025273951678173034	24.157980678094418	16.10353671982989	23.92748626803177	none_recorded		False
Amanita__2852757at2759__code1	F235537	1.3210934674233645	2.867740118404349	2.8740210703823363	0.0009727703436510637	-0.00013246324760984862	113.53170931148634	93.4549363393935	280.97644664539894	none_recorded		False
Amanita__288615at2759__code1	F235537	1.2047439886881248	2.61893935516953	2.6452205257798873	0.010583317334749154	-0.003853766535030445	120.2508716245975	153.73988700144218	311.5956358126823	none_recorded		False
Amanita__319730at2759__code1	F235537	0.7956579887737525	1.631880643559697	1.6392442880901639	0.002220810216385871	-0.0005398254206738784	55.947364936402664	101.58902450443384	155.3303504046562	none_recorded		False
Amanita__340246at2759__code1	F933333	0.9909119979322294	2.043523365966454	2.0577661621893855	0.0031781777124706423	-0.0016132434939208906	111.10473240879583	112.04373650208709	422.93763376696006	none_recorded		False
Amanita__345792at2759__code1	F235537	0.9807741626449034	1.943294604021059	1.9551745159843037	0.0017135612133643008	-0.000575827471948287	50.49730808123877	56.328111440653174	83.6425287748898	none_recorded		False
