marker	fit	warning
5000476at2759	3di_llm	WARNING: States(s) E, T, Y rarely appear in alignment and may cause numerical problems
5000743at2759	aa	WARNING: 2 near-zero internal branches (<0.0061) should be treated with caution
5000743at2759	3di_af	WARNING: 2 near-zero internal branches (<0.0061) should be treated with caution
5000743at2759	3di_af_empirical	WARNING: 2 near-zero internal branches (<0.0061) should be treated with caution
5000743at2759	3di_llm	WARNING: 2 near-zero internal branches (<0.0061) should be treated with caution
5000823at2759	3di_af	WARNING: States(s) E rarely appear in alignment and may cause numerical problems
5000823at2759	3di_af_empirical	WARNING: States(s) E rarely appear in alignment and may cause numerical problems
5000823at2759	3di_llm	WARNING: States(s) E rarely appear in alignment and may cause numerical problems
5001273at2759	3di_af	WARNING: States(s) E, Y rarely appear in alignment and may cause numerical problems
5001273at2759	3di_af_empirical	WARNING: 1 near-zero internal branches (<0.0049) should be treated with caution
5001273at2759	3di_af_empirical	WARNING: States(s) E, Y rarely appear in alignment and may cause numerical problems
5001273at2759	3di_llm	WARNING: States(s) E, Y rarely appear in alignment and may cause numerical problems
5001734at2759	aa	WARNING: 1 near-zero internal branches (<0.0074) should be treated with caution
5001734at2759	3di_af	WARNING: States(s) A, E, I, K, M, F, T, W, Y rarely appear in alignment and may cause numerical problems
5001734at2759	3di_af_empirical	WARNING: States(s) A, E, I, K, M, F, T, W, Y rarely appear in alignment and may cause numerical problems
5001734at2759	3di_llm	WARNING: States(s) A, E, I, K, M, F, T, W, Y rarely appear in alignment and may cause numerical problems
5001941at2759	aa	WARNING: 1 sequences contain more than 50% gaps/ambiguity
5001941at2759	3di_af	WARNING: 1 near-zero internal branches (<0.0019) should be treated with caution
5001941at2759	3di_af	WARNING: 1 sequences contain more than 50% gaps/ambiguity
5001941at2759	3di_af	WARNING: States(s) E, Y rarely appear in alignment and may cause numerical problems
5001941at2759	3di_af_empirical	WARNING: 1 near-zero internal branches (<0.0019) should be treated with caution
5001941at2759	3di_af_empirical	WARNING: 1 sequences contain more than 50% gaps/ambiguity
5001941at2759	3di_af_empirical	WARNING: States(s) E, Y rarely appear in alignment and may cause numerical problems
5001941at2759	3di_llm	WARNING: 1 near-zero internal branches (<0.0019) should be treated with caution
5001941at2759	3di_llm	WARNING: 1 sequences contain more than 50% gaps/ambiguity
5001941at2759	3di_llm	WARNING: States(s) E, Y rarely appear in alignment and may cause numerical problems
5002334at2759	3di_af	WARNING: States(s) I, K, M, W, Y rarely appear in alignment and may cause numerical problems
5002334at2759	3di_af_empirical	WARNING: States(s) I, K, M, W, Y rarely appear in alignment and may cause numerical problems
5002334at2759	3di_llm	WARNING: States(s) I, K, M, W, Y rarely appear in alignment and may cause numerical problems
5002573at2759	aa	WARNING: 2 near-zero internal branches (<0.0029) should be treated with caution
5002573at2759	3di_af	WARNING: 2 near-zero internal branches (<0.0029) should be treated with caution
5002573at2759	3di_af_empirical	WARNING: 2 near-zero internal branches (<0.0029) should be treated with caution
5002573at2759	3di_llm	WARNING: 2 near-zero internal branches (<0.0029) should be treated with caution
5003192at2759	aa	WARNING: Too low -mem, automatically increased to 0.816 MB
5003192at2759	3di_af	WARNING: States(s) M rarely appear in alignment and may cause numerical problems
5003192at2759	3di_af	WARNING: Too low -mem, automatically increased to 0.606 MB
5003192at2759	3di_af_empirical	WARNING: States(s) M rarely appear in alignment and may cause numerical problems
5003192at2759	3di_af_empirical	WARNING: Too low -mem, automatically increased to 0.606 MB
5003192at2759	3di_llm	WARNING: States(s) M rarely appear in alignment and may cause numerical problems
5003192at2759	3di_llm	WARNING: Too low -mem, automatically increased to 0.606 MB
5003972at2759	aa	WARNING: Too low -mem, automatically increased to 0.470 MB
5003972at2759	3di_af	WARNING: 1 near-zero internal branches (<0.0050) should be treated with caution
5003972at2759	3di_af	WARNING: States(s) I, M rarely appear in alignment and may cause numerical problems
5003972at2759	3di_af	WARNING: Too low -mem, automatically increased to 0.408 MB
5003972at2759	3di_af_empirical	WARNING: 1 near-zero internal branches (<0.0050) should be treated with caution
5003972at2759	3di_af_empirical	WARNING: States(s) I, M rarely appear in alignment and may cause numerical problems
5003972at2759	3di_af_empirical	WARNING: Too low -mem, automatically increased to 0.408 MB
5003972at2759	3di_llm	WARNING: 1 near-zero internal branches (<0.0050) should be treated with caution
5003972at2759	3di_llm	WARNING: States(s) I, M rarely appear in alignment and may cause numerical problems
5003972at2759	3di_llm	WARNING: Too low -mem, automatically increased to 0.408 MB
5004118at2759	aa	WARNING: States(s) C rarely appear in alignment and may cause numerical problems
5004118at2759	3di_af	WARNING: States(s) R, E, G, I, K, M, S, Y rarely appear in alignment and may cause numerical problems
5004118at2759	3di_af_empirical	WARNING: 1 near-zero internal branches (<0.0076) should be treated with caution
5004118at2759	3di_af_empirical	WARNING: States(s) R, E, G, I, K, M, S, Y rarely appear in alignment and may cause numerical problems
5004118at2759	3di_llm	WARNING: States(s) R, E, G, I, K, M, S, Y rarely appear in alignment and may cause numerical problems
5004327at2759	3di_af	WARNING: States(s) Y rarely appear in alignment and may cause numerical problems
5004327at2759	3di_af_empirical	WARNING: States(s) Y rarely appear in alignment and may cause numerical problems
5004327at2759	3di_llm	WARNING: States(s) Y rarely appear in alignment and may cause numerical problems
5005174at2759	aa	WARNING: Too low -mem, automatically increased to 0.483 MB
5005174at2759	3di_af	WARNING: States(s) E, M, Y rarely appear in alignment and may cause numerical problems
5005174at2759	3di_af	WARNING: Too low -mem, automatically increased to 0.297 MB
5005174at2759	3di_af_empirical	WARNING: States(s) E, M, Y rarely appear in alignment and may cause numerical problems
5005174at2759	3di_af_empirical	WARNING: Too low -mem, automatically increased to 0.297 MB
5005174at2759	3di_llm	WARNING: States(s) E, M, Y rarely appear in alignment and may cause numerical problems
5005174at2759	3di_llm	WARNING: Too low -mem, automatically increased to 0.297 MB
5005196at2759	aa	WARNING: 1 near-zero internal branches (<0.0027) should be treated with caution
5005196at2759	3di_af	WARNING: 1 near-zero internal branches (<0.0027) should be treated with caution
5005196at2759	3di_af_empirical	WARNING: 1 near-zero internal branches (<0.0027) should be treated with caution
5005196at2759	3di_llm	WARNING: 1 near-zero internal branches (<0.0027) should be treated with caution
5005215at2759	3di_af	WARNING: States(s) E rarely appear in alignment and may cause numerical problems
5005215at2759	3di_af_empirical	WARNING: States(s) E rarely appear in alignment and may cause numerical problems
5005215at2759	3di_llm	WARNING: States(s) E rarely appear in alignment and may cause numerical problems
5005697at2759	3di_af	WARNING: States(s) K, M, T rarely appear in alignment and may cause numerical problems
5005697at2759	3di_af_empirical	WARNING: States(s) K, M, T rarely appear in alignment and may cause numerical problems
5005697at2759	3di_llm	WARNING: States(s) K, M, T rarely appear in alignment and may cause numerical problems
5005750at2759	aa	WARNING: States(s) W rarely appear in alignment and may cause numerical problems
5005750at2759	aa	WARNING: Too low -mem, automatically increased to 0.260 MB
5005750at2759	3di_af	WARNING: States(s) E, Y rarely appear in alignment and may cause numerical problems
5005750at2759	3di_af	WARNING: Too low -mem, automatically increased to 0.198 MB
5005750at2759	3di_af_empirical	WARNING: States(s) E, Y rarely appear in alignment and may cause numerical problems
5005750at2759	3di_af_empirical	WARNING: Too low -mem, automatically increased to 0.198 MB
5005750at2759	3di_llm	WARNING: States(s) E, Y rarely appear in alignment and may cause numerical problems
5005750at2759	3di_llm	WARNING: Too low -mem, automatically increased to 0.198 MB
5005892at2759	3di_af	WARNING: States(s) Y rarely appear in alignment and may cause numerical problems
5005892at2759	3di_af_empirical	WARNING: States(s) Y rarely appear in alignment and may cause numerical problems
5005892at2759	3di_llm	WARNING: States(s) Y rarely appear in alignment and may cause numerical problems
5013259at2759	3di_af	WARNING: 1 near-zero internal branches (<0.0070) should be treated with caution
5013259at2759	3di_af	WARNING: States(s) E, K, M rarely appear in alignment and may cause numerical problems
5013259at2759	3di_af_empirical	WARNING: 1 near-zero internal branches (<0.0070) should be treated with caution
5013259at2759	3di_af_empirical	WARNING: States(s) E, K, M rarely appear in alignment and may cause numerical problems
5013259at2759	3di_llm	WARNING: 1 near-zero internal branches (<0.0070) should be treated with caution
5013259at2759	3di_llm	WARNING: States(s) E, K, M rarely appear in alignment and may cause numerical problems
5013539at2759	3di_af_empirical	WARNING: 1 near-zero internal branches (<0.0045) should be treated with caution
5013738at2759	aa	WARNING: 1 near-zero internal branches (<0.0059) should be treated with caution
5013738at2759	3di_af	WARNING: 3 near-zero internal branches (<0.0059) should be treated with caution
5013738at2759	3di_af	WARNING: States(s) E, T, Y rarely appear in alignment and may cause numerical problems
5013738at2759	3di_af_empirical	WARNING: 3 near-zero internal branches (<0.0059) should be treated with caution
5013738at2759	3di_af_empirical	WARNING: States(s) E, T, Y rarely appear in alignment and may cause numerical problems
5013738at2759	3di_llm	WARNING: 3 near-zero internal branches (<0.0059) should be treated with caution
5013738at2759	3di_llm	WARNING: States(s) E, T, Y rarely appear in alignment and may cause numerical problems
5014007at2759	aa	WARNING: Too low -mem, automatically increased to 0.965 MB
5014007at2759	3di_af	WARNING: Too low -mem, automatically increased to 0.619 MB
5014007at2759	3di_af_empirical	WARNING: Too low -mem, automatically increased to 0.619 MB
5014007at2759	3di_llm	WARNING: Too low -mem, automatically increased to 0.619 MB
5015403at2759	aa	WARNING: Too low -mem, automatically increased to 0.717 MB
5015403at2759	3di_af	WARNING: Too low -mem, automatically increased to 0.557 MB
5015403at2759	3di_af_empirical	WARNING: Too low -mem, automatically increased to 0.557 MB
5015403at2759	3di_llm	WARNING: Too low -mem, automatically increased to 0.557 MB
5017019at2759	aa	WARNING: Too low -mem, automatically increased to 0.446 MB
5017019at2759	3di_af	WARNING: States(s) K, W, Y rarely appear in alignment and may cause numerical problems
5017019at2759	3di_af	WARNING: Too low -mem, automatically increased to 0.371 MB
5017019at2759	3di_af_empirical	WARNING: States(s) K, W, Y rarely appear in alignment and may cause numerical problems
5017019at2759	3di_af_empirical	WARNING: Too low -mem, automatically increased to 0.371 MB
5017019at2759	3di_llm	WARNING: States(s) K, W, Y rarely appear in alignment and may cause numerical problems
5017019at2759	3di_llm	WARNING: Too low -mem, automatically increased to 0.371 MB
529759at2759	aa	WARNING: States(s) W rarely appear in alignment and may cause numerical problems
529759at2759	aa	WARNING: Too low -mem, automatically increased to 0.297 MB
529759at2759	3di_af	WARNING: States(s) M, T rarely appear in alignment and may cause numerical problems
529759at2759	3di_af	WARNING: Too low -mem, automatically increased to 0.235 MB
529759at2759	3di_af_empirical	WARNING: States(s) M, T rarely appear in alignment and may cause numerical problems
529759at2759	3di_af_empirical	WARNING: Too low -mem, automatically increased to 0.235 MB
529759at2759	3di_llm	WARNING: States(s) M, T rarely appear in alignment and may cause numerical problems
529759at2759	3di_llm	WARNING: Too low -mem, automatically increased to 0.235 MB
530014at2759	aa	WARNING: Too low -mem, automatically increased to 1.397 MB
530014at2759	3di_af	WARNING: Too low -mem, automatically increased to 0.693 MB
530014at2759	3di_af_empirical	WARNING: Too low -mem, automatically increased to 0.693 MB
530014at2759	3di_llm	WARNING: Too low -mem, automatically increased to 0.693 MB
538728at2759	aa	WARNING: States(s) C rarely appear in alignment and may cause numerical problems
538728at2759	aa	WARNING: Too low -mem, automatically increased to 0.532 MB
538728at2759	3di_af	WARNING: States(s) I, K, M, T, W, Y rarely appear in alignment and may cause numerical problems
538728at2759	3di_af	WARNING: Too low -mem, automatically increased to 0.347 MB
538728at2759	3di_af_empirical	WARNING: States(s) I, K, M, T, W, Y rarely appear in alignment and may cause numerical problems
538728at2759	3di_af_empirical	WARNING: Too low -mem, automatically increased to 0.347 MB
538728at2759	3di_llm	WARNING: States(s) I, K, M, T, W, Y rarely appear in alignment and may cause numerical problems
538728at2759	3di_llm	WARNING: Too low -mem, automatically increased to 0.347 MB
539632at2759	aa	WARNING: 3 near-zero internal branches (<0.0041) should be treated with caution
539632at2759	3di_af	WARNING: 4 near-zero internal branches (<0.0041) should be treated with caution
539632at2759	3di_af_empirical	WARNING: 4 near-zero internal branches (<0.0041) should be treated with caution
539632at2759	3di_llm	WARNING: 4 near-zero internal branches (<0.0041) should be treated with caution
649304at2759	3di_af	WARNING: States(s) I, K, M, T, W, Y rarely appear in alignment and may cause numerical problems
649304at2759	3di_af_empirical	WARNING: States(s) I, K, M, T, W, Y rarely appear in alignment and may cause numerical problems
649304at2759	3di_llm	WARNING: States(s) I, K, M, T, W, Y rarely appear in alignment and may cause numerical problems
707076at2759	aa	WARNING: 1 near-zero internal branches (<0.0046) should be treated with caution
707076at2759	3di_af	WARNING: 1 near-zero internal branches (<0.0046) should be treated with caution
707076at2759	3di_af_empirical	WARNING: 1 near-zero internal branches (<0.0046) should be treated with caution
707076at2759	3di_llm	WARNING: 1 near-zero internal branches (<0.0046) should be treated with caution
727964at2759	aa	WARNING: Too low -mem, automatically increased to 0.495 MB
727964at2759	3di_af	WARNING: States(s) M rarely appear in alignment and may cause numerical problems
727964at2759	3di_af	WARNING: Too low -mem, automatically increased to 0.297 MB
727964at2759	3di_af_empirical	WARNING: States(s) M rarely appear in alignment and may cause numerical problems
727964at2759	3di_af_empirical	WARNING: Too low -mem, automatically increased to 0.297 MB
727964at2759	3di_llm	WARNING: States(s) M rarely appear in alignment and may cause numerical problems
727964at2759	3di_llm	WARNING: Too low -mem, automatically increased to 0.297 MB
730114at2759	aa	WARNING: NNI search needs unusual large number of steps (5) to converge!
760428at2759	aa	WARNING: Too low -mem, automatically increased to 0.816 MB
760428at2759	3di_af	WARNING: States(s) E, M rarely appear in alignment and may cause numerical problems
760428at2759	3di_af	WARNING: Too low -mem, automatically increased to 0.594 MB
760428at2759	3di_af_empirical	WARNING: States(s) E, M rarely appear in alignment and may cause numerical problems
760428at2759	3di_af_empirical	WARNING: Too low -mem, automatically increased to 0.594 MB
760428at2759	3di_llm	WARNING: States(s) E, M rarely appear in alignment and may cause numerical problems
760428at2759	3di_llm	WARNING: Too low -mem, automatically increased to 0.594 MB
776280at2759	aa	WARNING: Too low -mem, automatically increased to 0.643 MB
776280at2759	3di_af	WARNING: States(s) M rarely appear in alignment and may cause numerical problems
776280at2759	3di_af	WARNING: Too low -mem, automatically increased to 0.507 MB
776280at2759	3di_af_empirical	WARNING: 1 near-zero internal branches (<0.0040) should be treated with caution
776280at2759	3di_af_empirical	WARNING: States(s) M rarely appear in alignment and may cause numerical problems
776280at2759	3di_af_empirical	WARNING: Too low -mem, automatically increased to 0.507 MB
776280at2759	3di_llm	WARNING: States(s) M rarely appear in alignment and may cause numerical problems
776280at2759	3di_llm	WARNING: Too low -mem, automatically increased to 0.507 MB
801816at2759	aa	WARNING: NNI search needs unusual large number of steps (7) to converge!
801816at2759	3di_af	WARNING: 1 near-zero internal branches (<0.0068) should be treated with caution
801816at2759	3di_af	WARNING: States(s) E, Y rarely appear in alignment and may cause numerical problems
801816at2759	3di_af_empirical	WARNING: 1 near-zero internal branches (<0.0068) should be treated with caution
801816at2759	3di_af_empirical	WARNING: States(s) E, Y rarely appear in alignment and may cause numerical problems
801816at2759	3di_llm	WARNING: 1 near-zero internal branches (<0.0068) should be treated with caution
801816at2759	3di_llm	WARNING: States(s) E, Y rarely appear in alignment and may cause numerical problems
