representative_input_id	member_input_id	forward_alignment_returned	reverse_alignment_returned	forward_passes	reverse_passes	status
M000024	M002395	True	True	True	True	both_directions_pass
M000055	M000289	True	True	True	True	both_directions_pass
M000055	M000451	True	True	True	True	both_directions_pass
M000055	M000581	True	True	True	True	both_directions_pass
M000055	M001005	True	True	True	True	both_directions_pass
M000055	M001215	True	True	True	True	both_directions_pass
M000055	M001411	True	True	True	True	both_directions_pass
M000055	M001503	True	True	True	True	both_directions_pass
M000055	M001724	True	True	True	True	both_directions_pass
M000055	M001773	True	True	True	True	both_directions_pass
M000055	M001908	True	True	True	True	both_directions_pass
M000055	M002041	True	True	True	True	both_directions_pass
M000055	M002142	True	True	True	True	both_directions_pass
M000055	M002236	True	True	True	True	both_directions_pass
M000055	M002459	True	True	True	True	both_directions_pass
M000055	M002671	True	True	True	True	both_directions_pass
M000055	M002769	True	True	True	True	both_directions_pass
M000055	M003211	True	True	True	True	both_directions_pass
M000055	M003324	True	True	True	True	both_directions_pass
M000055	M003416	True	True	True	True	both_directions_pass
M000055	M003635	True	True	True	True	both_directions_pass
M000055	M003721	True	True	True	True	both_directions_pass
M000055	M003874	True	True	True	True	both_directions_pass
M000055	M003987	True	True	True	True	both_directions_pass
M000055	M004215	True	True	True	True	both_directions_pass
M000055	M004358	True	True	True	True	both_directions_pass
M000055	M004412	True	True	True	True	both_directions_pass
M000055	M004620	True	True	True	True	both_directions_pass
M000055	M004649	True	True	True	True	both_directions_pass
M000055	M004858	True	True	True	True	both_directions_pass
M000055	M004978	True	True	True	True	both_directions_pass
M000055	M005046	True	True	True	True	both_directions_pass
M000055	M005195	True	True	True	True	both_directions_pass
M000055	M005286	True	True	True	True	both_directions_pass
M000055	M005409	True	True	True	True	both_directions_pass
M000055	M005621	True	True	True	True	both_directions_pass
M000055	M005792	True	True	True	True	both_directions_pass
M000055	M005850	True	True	True	True	both_directions_pass
M000055	M005879	True	True	True	True	both_directions_pass
M000055	M006100	True	True	True	True	both_directions_pass
M000055	M006111	True	True	True	True	both_directions_pass
M000055	M006248	True	True	True	True	both_directions_pass
M000055	M006541	True	True	True	True	both_directions_pass
M000055	M006553	True	True	True	True	both_directions_pass
M000055	M006590	True	True	True	True	both_directions_pass
M000055	M006650	True	True	True	True	both_directions_pass
M000055	M006908	True	True	True	True	both_directions_pass
M000055	M007064	True	True	True	True	both_directions_pass
M000055	M007153	True	True	True	True	both_directions_pass
M000055	M007370	True	True	True	True	both_directions_pass
M000055	M007402	True	True	True	True	both_directions_pass
M000055	M007581	True	True	True	True	both_directions_pass
M000055	M007686	True	True	True	True	both_directions_pass
M000055	M007866	True	True	True	True	both_directions_pass
M000055	M008048	True	True	True	True	both_directions_pass
M000055	M008147	True	True	True	True	both_directions_pass
M000055	M008259	True	True	True	True	both_directions_pass
M000055	M008432	True	True	True	True	both_directions_pass
M000055	M008539	True	True	True	True	both_directions_pass
M000055	M008611	True	True	True	True	both_directions_pass
M000055	M008660	True	True	True	True	both_directions_pass
M000055	M008703	True	True	True	True	both_directions_pass
M000055	M008861	True	True	True	True	both_directions_pass
M000055	M009075	True	True	True	True	both_directions_pass
M000055	M009373	True	True	True	True	both_directions_pass
M000055	M009523	True	True	True	True	both_directions_pass
M000055	M009825	True	True	True	True	both_directions_pass
M000055	M009937	True	True	True	True	both_directions_pass
M000055	M010014	True	True	True	True	both_directions_pass
M000055	M010203	True	True	True	True	both_directions_pass
M000055	M010319	True	True	True	True	both_directions_pass
M000055	M010378	True	True	True	True	both_directions_pass
M000055	M010519	True	True	True	True	both_directions_pass
M000055	M010774	True	True	True	True	both_directions_pass
M000055	M010791	True	True	True	True	both_directions_pass
M000055	M010870	True	True	True	True	both_directions_pass
M000055	M010963	True	True	True	True	both_directions_pass
M000055	M011274	True	True	True	True	both_directions_pass
M000055	M011418	True	True	True	True	both_directions_pass
M000055	M011561	True	True	True	True	both_directions_pass
M000055	M011686	True	True	True	True	both_directions_pass
M000055	M011996	True	True	True	True	both_directions_pass
M000055	M012132	True	True	True	True	both_directions_pass
M000055	M012230	True	True	True	True	both_directions_pass
M000055	M012277	True	True	True	True	both_directions_pass
M000055	M012367	True	True	True	True	both_directions_pass
M000055	M012465	True	True	True	True	both_directions_pass
M000055	M012573	True	True	True	True	both_directions_pass
M000055	M012724	True	True	True	True	both_directions_pass
M000055	M012882	True	True	True	True	both_directions_pass
M000055	M013016	True	True	True	True	both_directions_pass
M000055	M013104	True	True	True	True	both_directions_pass
M000074	M004846	True	True	True	True	both_directions_pass
M000074	M009883	True	True	True	True	both_directions_pass
M000074	M010152	True	True	True	True	both_directions_pass
M000079	M002019	True	True	True	True	both_directions_pass
M000079	M003552	True	True	True	True	both_directions_pass
M000079	M003654	True	True	True	True	both_directions_pass
M000079	M006524	True	True	True	True	both_directions_pass
M000079	M007948	True	True	True	True	both_directions_pass
M000079	M013570	True	True	True	True	both_directions_pass
M000081	M000664	True	True	True	True	both_directions_pass
M000081	M004457	True	True	True	True	both_directions_pass
M000081	M004624	True	True	True	True	both_directions_pass
M000081	M004980	True	True	True	True	both_directions_pass
M000081	M007576	True	True	True	True	both_directions_pass
M000081	M015443	True	True	True	True	both_directions_pass
M000096	M005439	True	True	True	True	both_directions_pass
M000180	M001809	True	True	True	True	both_directions_pass
M000180	M010195	True	True	True	True	both_directions_pass
M000180	M010568	True	True	True	True	both_directions_pass
M000186	M001020	True	True	True	True	both_directions_pass
