marker	path_metric	geometry_metric	pairs	omitted_geometry_pairs	rank_correlation	status	marker_review_status
115730at2759	aa_tree_path_point	ca_superposition_rmsd_angstrom	105	0	0.2386377773170226	descriptive_estimable	no_current_copy_review_flag
115730at2759	3di_af_tree_path_point	ca_superposition_rmsd_angstrom	105	0	0.372911051212938	descriptive_estimable	no_current_copy_review_flag
115730at2759	3di_af_empirical_tree_path_point	ca_superposition_rmsd_angstrom	105	0	0.3881608957080655	descriptive_estimable	no_current_copy_review_flag
115730at2759	3di_llm_tree_path_point	ca_superposition_rmsd_angstrom	105	0	0.36901306240928883	descriptive_estimable	no_current_copy_review_flag
115730at2759	aa_tree_path_point	local_distance_mean_absolute_change_angstrom	105	0	0.562409288824383	descriptive_estimable	no_current_copy_review_flag
115730at2759	3di_af_tree_path_point	local_distance_mean_absolute_change_angstrom	105	0	0.6242380261248185	descriptive_estimable	no_current_copy_review_flag
115730at2759	3di_af_empirical_tree_path_point	local_distance_mean_absolute_change_angstrom	105	0	0.6251814223512336	descriptive_estimable	no_current_copy_review_flag
115730at2759	3di_llm_tree_path_point	local_distance_mean_absolute_change_angstrom	105	0	0.6161725067385444	descriptive_estimable	no_current_copy_review_flag
115730at2759	aa_tree_path_point	pae10_local_mean_absolute_change_angstrom	105	0	0.6416649388347502	descriptive_estimable	no_current_copy_review_flag
115730at2759	3di_af_tree_path_point	pae10_local_mean_absolute_change_angstrom	105	0	0.41857764876632797	descriptive_estimable	no_current_copy_review_flag
115730at2759	3di_af_empirical_tree_path_point	pae10_local_mean_absolute_change_angstrom	105	0	0.4174580136844288	descriptive_estimable	no_current_copy_review_flag
115730at2759	3di_llm_tree_path_point	pae10_local_mean_absolute_change_angstrom	105	0	0.4097346050176239	descriptive_estimable	no_current_copy_review_flag
129234at2759	aa_tree_path_point	ca_superposition_rmsd_angstrom	11613	0	0.33726600824024505	descriptive_estimable	no_current_copy_review_flag
129234at2759	3di_af_tree_path_point	ca_superposition_rmsd_angstrom	11613	0	0.5048548713081452	descriptive_estimable	no_current_copy_review_flag
129234at2759	3di_af_empirical_tree_path_point	ca_superposition_rmsd_angstrom	11613	0	0.5129697412623867	descriptive_estimable	no_current_copy_review_flag
129234at2759	3di_llm_tree_path_point	ca_superposition_rmsd_angstrom	11613	0	0.4936014252145889	descriptive_estimable	no_current_copy_review_flag
129234at2759	aa_tree_path_point	local_distance_mean_absolute_change_angstrom	11613	0	0.5158846507692179	descriptive_estimable	no_current_copy_review_flag
129234at2759	3di_af_tree_path_point	local_distance_mean_absolute_change_angstrom	11613	0	0.6525470030523813	descriptive_estimable	no_current_copy_review_flag
129234at2759	3di_af_empirical_tree_path_point	local_distance_mean_absolute_change_angstrom	11613	0	0.6495988358438068	descriptive_estimable	no_current_copy_review_flag
129234at2759	3di_llm_tree_path_point	local_distance_mean_absolute_change_angstrom	11613	0	0.6390962365429625	descriptive_estimable	no_current_copy_review_flag
129234at2759	aa_tree_path_point	pae10_local_mean_absolute_change_angstrom	11613	0	0.5338238172771225	descriptive_estimable	no_current_copy_review_flag
129234at2759	3di_af_tree_path_point	pae10_local_mean_absolute_change_angstrom	11613	0	0.6517671926837999	descriptive_estimable	no_current_copy_review_flag
129234at2759	3di_af_empirical_tree_path_point	pae10_local_mean_absolute_change_angstrom	11613	0	0.6483394936563008	descriptive_estimable	no_current_copy_review_flag
129234at2759	3di_llm_tree_path_point	pae10_local_mean_absolute_change_angstrom	11613	0	0.6387709337802915	descriptive_estimable	no_current_copy_review_flag
201273at2759	aa_tree_path_point	ca_superposition_rmsd_angstrom	2485	0	0.02657392728111401	descriptive_estimable	no_current_copy_review_flag
201273at2759	3di_af_tree_path_point	ca_superposition_rmsd_angstrom	2485	0	0.05537972497431965	descriptive_estimable	no_current_copy_review_flag
