marker	sites	sites_with_omitted_observation	omitted_residues	max_abs_delta_rsa_tien2013_theoretical_q25	max_abs_delta_rsa_tien2013_theoretical_median	max_abs_delta_rsa_tien2013_theoretical_q75	max_abs_delta_rsa_miller1987_q25	max_abs_delta_rsa_miller1987_median	max_abs_delta_rsa_miller1987_q75	max_abs_delta_ca_plddt_q25	max_abs_delta_ca_plddt_median	max_abs_delta_ca_plddt_q75
129234at2759	166	132	132	0.024908995087317864	0.0019910950553964635	0.001153370428565892	0.02128364312772446	0.00569256778174293	0.0019287651141157713	0.1599999999999966	0.3149999999999977	0.1349999999999909
260326at2759	151	112	112	0.15886432399861428	0.012692676151259907	0.005104812691146321	0.1843623398437671	0.004836407499118595	0.006166653779680953	0.11249999999999716	0.3149999999999977	0.292500000000004
345792at2759	226	211	211	0.012033252574169484	0.02075539011283717	0.03741103094239495	0.018326149613445253	0.015577323202220272	0.01893522456757002	1.8624999999999972	1.5300000000000011	0.2750000000000057
4613677at2759	73	60	60	0.010569349389310256	0.004818488966230272	0.003858185294097538	0.003971281411117189	0.012946406330600513	0.005939503690970294	0.12000000000000455	0.09000000000000341	0.13500000000000512
4803900at2759	101	92	92	0.0077766868768963104	0.0051657305029504386	0.01415099799755859	0.009398921128828841	0.004329648850916301	0.009466738286828202	0.22750000000000625	0.1599999999999966	0.1875
4867008at2759	177	175	175	0.0054821833792755015	0.015703339552954776	0.012786539975889855	0.006121771440190965	0.010609334354695632	0.0091003045295861	0.3149999999999977	0.16500000000000625	0.2325000000000017
4896098at2759	149	144	144	0.004617388502987263	0.011802753854354198	0.004674721537822335	0.008859707593858568	0.01848153646582501	0.009550692213925238	0.21000000000000796	0.22499999999999432	0.12249999999998806
5000452at2759	292	259	259	0.046440447722999545	0.019539327489161318	0.042059144820860594	0.05900220817266327	0.0331241563364475	0.043890350018453095	1.0574999999999903	1.2199999999999989	1.5274999999999892
5000743at2759	166	134	134	0.024792568166498608	0.02730404804180575	0.008316734297832418	0.030598422737134423	0.030489520313349838	0.016896567740067425	0.5024999999999977	0.5	0.47749999999999204
5001413at2759	251	250	250	0.03288903045193636	0.007099090559859966	0.010978465363156276	0.009283241504379869	0.009226431679565605	0.012481740703339517	0.5250000000000057	0.37999999999999545	0.25250000000001194
5001473at2759	81	63	63	0.0122916329383847	0.002776375995187397	0.004228910580444167	0.01397471960629626	0.005720033369794542	0.0054045841742380585	0.20999999999999375	0.19499999999999318	0.1599999999999966
5003972at2759	201	179	179	0.01005552691464795	0.03605356949458011	0.012432322538185714	0.01921865590253291	0.039672846741140244	0.013070872542229939	0.3650000000000091	0.269999999999996	0.2325000000000017
5004118at2759	81	52	52	0.03919782379241715	0.039544241065714636	0.01801844914056233	0.04377090323486582	0.03658490147180099	0.024199099887966313	1.8074999999999903	1.5600000000000023	0.9099999999999966
5005010at2759	92	92	92	0.0030402325776575645	0.00952943021156255	0.0045038703514233	0.003697462137878138	0.011612365776931477	0.0032185310065325212	0.24499999999999034	0.15500000000000114	0.045000000000001705
5013259at2759	120	81	81	0.02708036187830687	0.01682392223297835	0.04408568430286619	0.02715988423383975	0.01878671316015912	0.038109956245998666	0.20999999999999375	1.1550000000000011	2.3400000000000034
5013726at2759	165	131	131	0.014886036076177778	0.014172552084214751	0.005443706696667161	0.007482105651922533	0.0038889494346330267	0.005491710627908708	0.1950000000000074	0.125	0.11499999999999488
