marker	path_model	common_pairs	baseline_path_median	sensitivity_path_median	median_signed_path_change	median_absolute_path_change	maximum_absolute_path_change	baseline_sensitivity_rank_correlation
129234at2759	aa_tree_path_point	11460	0.9804169412	1.0696731684	0.09131701624999994	0.09266336784999996	0.5415443949999998	0.9884604363413715
129234at2759	3di_af_tree_path_point	11460	0.5602669031	0.44086729874999997	-0.11621307600000008	0.11622080925000006	0.46312166060000004	0.9579946775619195
129234at2759	3di_af_empirical_tree_path_point	11460	0.49309601950000004	0.4925002043499999	-0.002279467500000021	0.02753873389999996	0.28005796110000025	0.9560889755921219
129234at2759	3di_llm_tree_path_point	11460	0.3686657055	0.3836934397	0.007056589350000031	0.020851381200000005	0.2149817620999998	0.9531612967996571
260326at2759	aa_tree_path_point	8549	1.3091723173	1.1547301839000002	-0.11366459129999984	0.135481764	0.8277507056000002	0.9709961000940127
260326at2759	3di_af_tree_path_point	8549	0.6515103023000001	0.6986278787999999	0.04213594229999995	0.06427682050000005	0.4010540221000001	0.9044946593993431
260326at2759	3di_af_empirical_tree_path_point	8549	0.7596707021000001	0.6535224273	-0.10186323079999993	0.10368346959999986	0.5290960443000001	0.9237386391925797
260326at2759	3di_llm_tree_path_point	8549	0.5663488896	0.5738937771	0.006492690500000009	0.047428751299999905	0.30523694320000005	0.8969956058075164
345792at2759	aa_tree_path_point	791	0.7284582141	0.6601868856	-0.09357779770000008	0.09357779770000008	0.2792435218000002	0.9920145703219526
345792at2759	3di_af_tree_path_point	791	0.40050964590000004	0.3915614486	-0.009620198099999977	0.010304915299999995	0.06737564290000003	0.996838352640974
345792at2759	3di_af_empirical_tree_path_point	791	0.418318425	0.4324775481	0.010659959100000005	0.01179022209999997	0.06540532060000004	0.9969962713437566
345792at2759	3di_llm_tree_path_point	791	0.4135240597	0.4048869723	-0.010430290300000034	0.01116922109999996	0.07748853050000004	0.9963977417601256
4613677at2759	aa_tree_path_point	9584	1.21596694575	1.3109653768	-0.0493664005499998	0.14826523299999994	1.2007926257000001	0.9184878440537264
4613677at2759	3di_af_tree_path_point	9584	0.2837894946	0.28061327184999996	-0.004824223899999997	0.0630766328999999	0.3661096502000001	0.637932839671812
