marker	path_model	geometry_metric	common_pairs	baseline_rank_correlation	sensitivity_rank_correlation	rank_correlation_change
129234at2759	aa_tree_path_point	ca_superposition_rmsd_angstrom	11460	0.33710908488195457	0.3395786414213961	0.002469556539441531
129234at2759	aa_tree_path_point	local_distance_mean_absolute_change_angstrom	11460	0.5142659690386537	0.5162595360220551	0.0019935669834013625
129234at2759	aa_tree_path_point	pae10_local_mean_absolute_change_angstrom	11460	0.5320489228194405	0.5329851340929097	0.0009362112734692118
129234at2759	3di_af_tree_path_point	ca_superposition_rmsd_angstrom	11460	0.5055820518350174	0.4937291542974839	-0.011852897537533491
129234at2759	3di_af_tree_path_point	local_distance_mean_absolute_change_angstrom	11460	0.6528894141769447	0.6502460687217484	-0.0026433454551962887
129234at2759	3di_af_tree_path_point	pae10_local_mean_absolute_change_angstrom	11460	0.6520455049142578	0.655540551490957	0.00349504657669919
129234at2759	3di_af_empirical_tree_path_point	ca_superposition_rmsd_angstrom	11460	0.5137524333922049	0.4865891222464158	-0.02716331114578907
129234at2759	3di_af_empirical_tree_path_point	local_distance_mean_absolute_change_angstrom	11460	0.6504232976786855	0.6403050029396934	-0.010118294738992062
129234at2759	3di_af_empirical_tree_path_point	pae10_local_mean_absolute_change_angstrom	11460	0.6491846799719214	0.6428024117240425	-0.006382268247878908
129234at2759	3di_llm_tree_path_point	ca_superposition_rmsd_angstrom	11460	0.49426086059077534	0.5055810595344603	0.011320198943684967
129234at2759	3di_llm_tree_path_point	local_distance_mean_absolute_change_angstrom	11460	0.6395030181841881	0.6586727601749395	0.019169741990751388
129234at2759	3di_llm_tree_path_point	pae10_local_mean_absolute_change_angstrom	11460	0.6391389823007927	0.6612960900231121	0.02215710772231938
260326at2759	aa_tree_path_point	ca_superposition_rmsd_angstrom	8549	0.3734457166522458	0.36667485576735065	-0.006770860884895147
260326at2759	aa_tree_path_point	local_distance_mean_absolute_change_angstrom	8549	0.5177843359371462	0.5127723138203436	-0.005012022116802628
260326at2759	aa_tree_path_point	pae10_local_mean_absolute_change_angstrom	8549	0.5437659058696047	0.531651198208546	-0.01211470766105871
260326at2759	3di_af_tree_path_point	ca_superposition_rmsd_angstrom	8549	0.3693009813092855	0.278324849744766	-0.0909761315645195
260326at2759	3di_af_tree_path_point	local_distance_mean_absolute_change_angstrom	8549	0.546353898743732	0.44713361907407634	-0.09922027966965563
260326at2759	3di_af_tree_path_point	pae10_local_mean_absolute_change_angstrom	8549	0.5780151832096028	0.48938794702254335	-0.08862723618705942
260326at2759	3di_af_empirical_tree_path_point	ca_superposition_rmsd_angstrom	8549	0.377124740673218	0.3096003672937	-0.067524373379518
260326at2759	3di_af_empirical_tree_path_point	local_distance_mean_absolute_change_angstrom	8549	0.5602290832799651	0.47991602407940975	-0.08031305920055537
260326at2759	3di_af_empirical_tree_path_point	pae10_local_mean_absolute_change_angstrom	8549	0.599600397213333	0.5295388496363392	-0.07006154757699379
260326at2759	3di_llm_tree_path_point	ca_superposition_rmsd_angstrom	8549	0.35674443901975655	0.2834887414300019	-0.07325569758975464
260326at2759	3di_llm_tree_path_point	local_distance_mean_absolute_change_angstrom	8549	0.5394270123401944	0.45149417725551444	-0.08793283508467997
