source_tier	cohort	joint_predicted_plddt_cutoff	metric	proteins	proteins_with_metric	median	q25	q75	positive	negative	approximately_zero
combined	all_available	0	af_experiment_rmsd_angstrom	71	71	3.0079403561012645	1.52767871956147	6.83644853624989			
combined	all_available	0	af_experiment_local_mean_absolute_difference_angstrom	71	71	0.6596024030115781	0.41671376031516805	1.1635316952321415			
combined	all_available	0	af_experiment_local_rms_difference_angstrom	71	71	1.1761864466920773	0.7058232462792966	2.3315861032873686			
combined	all_available	0	esm_experiment_rmsd_angstrom	71	71	7.584968396077233	2.4419803369782467	16.87123547540402			
combined	all_available	0	esm_experiment_local_mean_absolute_difference_angstrom	71	71	1.2556087609946267	0.6476315392264718	2.192967611568843			
combined	all_available	0	esm_experiment_local_rms_difference_angstrom	71	71	2.996243847238642	1.2415922554852485	6.24549645347721			
combined	all_available	0	af_esm_rmsd_angstrom	71	71	5.896149099705559	1.9324065078892978	14.487313231842649			
combined	all_available	0	af_esm_local_mean_absolute_difference_angstrom	71	71	0.6023569208702806	0.3370569899176943	1.6088026007012712			
combined	all_available	0	af_esm_local_rms_difference_angstrom	71	71	1.644783382481122	0.7263632096672674	4.121254064675936			
combined	all_available	0	paired_delta_rmsd_angstrom	71	71	1.2086785423245598	0.24900116130613786	6.687542360047221	59	12	0
combined	all_available	0	paired_delta_local_mean_absolute_difference_angstrom	71	71	0.20738616545402774	0.07830293989215831	1.1522630557600955	67	4	0
combined	all_available	0	paired_delta_local_rms_difference_angstrom	71	71	0.4336239429685795	0.10788376995240567	3.0201558599401506	62	9	0
combined	all_available	70	af_experiment_rmsd_angstrom	63	63	1.7484217444629517	0.9605294606248609	3.375588645829388			
combined	all_available	70	af_experiment_local_mean_absolute_difference_angstrom	63	63	0.4723080016190446	0.3335045629758796	0.7476177244827461			
combined	all_available	70	af_experiment_local_rms_difference_angstrom	63	63	0.7148871725107303	0.49895941711915837	1.1710487735805875			
combined	all_available	70	esm_experiment_rmsd_angstrom	63	63	3.6871196388490244	1.5571985569282543	12.298007326313503			
combined	all_available	70	esm_experiment_local_mean_absolute_difference_angstrom	63	63	0.671327264058001	0.4370482430883743	1.021992292355748			
combined	all_available	70	esm_experiment_local_rms_difference_angstrom	63	63	1.1183172155968024	0.6858616723211386	3.046709446226096			
combined	all_available	70	af_esm_rmsd_angstrom	63	63	1.9908181245737782	0.9319469038935001	10.290390491976744			
combined	all_available	70	af_esm_local_mean_absolute_difference_angstrom	63	63	0.2767652853437586	0.2362430769168785	0.3994074110981827			
combined	all_available	70	af_esm_local_rms_difference_angstrom	63	63	0.49634796529821273	0.3765865222252357	1.0446423537852918			
combined	all_available	70	paired_delta_rmsd_angstrom	63	63	0.6465581806513158	0.18078654730596366	4.410065392734834	54	9	0
combined	all_available	70	paired_delta_local_mean_absolute_difference_angstrom	63	63	0.08252669093674936	0.05872576706357436	0.2002493983613868	62	1	0
combined	all_available	70	paired_delta_local_rms_difference_angstrom	63	63	0.12392862849052752	0.07167635738890021	0.4166190351553182	60	3	0
combined	all_available	90	af_experiment_rmsd_angstrom	18	18	0.9600851670715004	0.5854278076449547	1.3257464122622815			
combined	all_available	90	af_experiment_local_mean_absolute_difference_angstrom	18	18	0.2982362355043058	0.23379984278720214	0.38292944160219966			
combined	all_available	90	af_experiment_local_rms_difference_angstrom	18	18	0.399655290146349	0.3207282371597921	0.5806662942137355			
combined	all_available	90	esm_experiment_rmsd_angstrom	18	18	1.4409236455869263	0.7913330195554907	2.2648894582453503			
combined	all_available	90	esm_experiment_local_mean_absolute_difference_angstrom	18	18	0.3676427483252668	0.2829520351986973	0.4152876101512836			
combined	all_available	90	esm_experiment_local_rms_difference_angstrom	18	18	0.4985733634952084	0.39487046752682714	0.6946370952149301			
combined	all_available	90	af_esm_rmsd_angstrom	18	18	0.8073651574406447	0.45535797000633604	1.2300029798498202			
combined	all_available	90	af_esm_local_mean_absolute_difference_angstrom	18	18	0.18316946295348768	0.15065918128683708	0.21724683126159003			
combined	all_available	90	af_esm_local_rms_difference_angstrom	18	18	0.27286282963906416	0.22660797048514036	0.3224787397310183			
combined	all_available	90	paired_delta_rmsd_angstrom	18	18	0.2994818961107869	0.07897813659502043	0.6414332360782304	16	2	0
combined	all_available	90	paired_delta_local_mean_absolute_difference_angstrom	18	18	0.05423054114020673	0.024720472568076968	0.07366661086690517	18	0	0
combined	all_available	90	paired_delta_local_rms_difference_angstrom	18	18	0.08755654082519565	0.026253257007423092	0.12182612203148793	18	0	0
combined	same_proteins_all_thresholds	0	af_experiment_rmsd_angstrom	18	18	1.52767871956147	0.8464517439099264	4.291899372613445			
combined	same_proteins_all_thresholds	0	af_experiment_local_mean_absolute_difference_angstrom	18	18	0.4659902159356105	0.3300974923909003	0.5601992950158173			
combined	same_proteins_all_thresholds	0	af_experiment_local_rms_difference_angstrom	18	18	0.7171687515238383	0.5278601260687972	0.9616457472759629			
combined	same_proteins_all_thresholds	0	esm_experiment_rmsd_angstrom	18	18	2.29786189809789	1.5173267442821683	6.341220925834184			
combined	same_proteins_all_thresholds	0	esm_experiment_local_mean_absolute_difference_angstrom	18	18	0.5936180891525689	0.4608566523447668	0.8142884614937732			
combined	same_proteins_all_thresholds	0	esm_experiment_local_rms_difference_angstrom	18	18	1.0419999804111275	0.7829569338936065	1.7239661063749354			
combined	same_proteins_all_thresholds	0	af_esm_rmsd_angstrom	18	18	1.9775920159453382	1.1437998597035424	3.5492434126398855			
